Query,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,AP
sư phụ mang thai con của ai,1,0,0,0,0,0,0,0,0,0,1.000
su phu mang thai con cua ai,1,0,0,0,0,0,0,0,0,0,1.000
vo toi ngay nao cung phai gia ngheo,1,0,0,0,0,0,0,0,0,0,1.000
xuyên nhanh kỳ chủ,1,0,0,0,0,0,0,0,0,0,1.000
remain hoa ky uc,1,0,0,0,0,0,0,0,0,0,1.000
bình tĩnh báo thù hot search,1,0,0,0,0,0,0,0,0,0,1.000
thập niên 70 cố niệm,1,0,0,0,0,0,0,0,0,0,1.000
sắc hôn trêu người,1,0,0,0,0,0,0,0,0,0,1.000
bach nguyet quang,1,1,0,0,0,0,0,0,0,0,1.000
alpha,1,1,0,0,0,0,0,0,0,0,1.000
du lam,1,1,0,0,0,0,0,0,0,0,1.000
me nhao nhao,1,1,0,0,0,0,0,0,0,0,1.000
trang sang,1,1,0,0,0,0,0,0,0,0,1.000
xuan,1,1,0,0,1,0,0,0,0,0,0.867
giang ho dai hiep,1,0,0,0,0,0,0,0,0,0,1.000
beta quan,1,0,0,0,0,0,0,0,0,0,1.000
nguoi ruc ro anh duong,1,0,0,0,0,0,0,0,0,0,1.000
loi to tinh dau dong,1,0,0,0,0,0,0,0,0,0,1.000
tro thanh vo doan menh,1,0,0,0,0,0,0,0,0,0,1.000
rot cuoc gap duoc em van viet,1,0,0,0,0,0,0,0,0,0,1.000
hai thon quang,1,0,0,0,0,0,0,0,0,0,1.000
vo cu phat dien,1,0,0,0,0,0,0,0,0,0,1.000
hong ngu,0,0,0,0,0,0,0,0,0,0,0.000
phao hoa ngay dong,1,0,0,0,0,0,0,0,0,0,1.000
tinh nhan cuoi tuan,1,0,0,0,0,0,0,0,0,0,1.000
tho ren my kieu,1,0,0,0,0,0,0,0,0,0,1.000
dung cui dau,1,0,0,0,0,0,0,0,0,0,1.000
nam thang thong dong,1,0,0,0,0,0,0,0,0,0,1.000
oanh dao luu hoa,1,0,0,0,0,0,0,0,0,0,1.000
ba muoi moi cuoi,1,0,0,0,0,0,0,0,0,0,1.000
kunlun no ninh dem mau tuoi,1,0,0,0,0,0,0,0,0,0,1.000
xuyen vao nguoi so kho phong toi nguc,0,1,0,0,0,0,0,0,0,0,0.500
dan tam con chuot tham tai,1,0,0,0,0,0,0,0,0,0,1.000
chua hop dam cao troc dau,1,0,0,0,0,0,0,0,0,0,1.000
cuon lich vong tron do co niem,1,0,0,0,0,0,0,0,0,0,1.000
thua ke nha ho tham lanh lung cam duc,1,0,0,0,0,0,0,0,0,0,1.000
bach hop linh di than quai,1,0,0,0,0,0,0,0,0,0,1.000
dan quoc bao thu pha an khong cp,1,0,0,0,0,0,0,0,0,0,1.000
dai hoc moi tinh ha truc hua mac,1,0,0,0,0,0,0,0,0,0,1.000
du tiec tat nien dai than lanh lung,1,0,0,0,0,0,0,0,0,0,1.000
vo toi ngay nao cung phai gia ngeo,1,0,0,0,0,0,0,0,0,0,1.000
binh tinh bao thu vui ve len hotserch,1,0,0,0,0,0,0,0,0,0,1.000
xong vao kinh do cung chout,1,0,0,0,0,0,0,0,0,0,1.000
trang sang ngan van dam tung ho khu hoa,1,0,0,0,0,0,0,0,0,0,1.000
nguoi ruc ro tua anh duongg,1,0,0,0,0,0,0,0,0,0,1.000
xuyen khong tu tien,0,0,0,0,0,0,0,0,0,0,0.000
cong chua hoang tu,0,0,0,0,0,0,0,0,0,0,0.000
khoa hoc vi tuong AI robot,0,0,0,0,0,0,0,0,0,0,0.000
trinh sat pha an sat nhan serial killer,0,0,0,0,0,0,0,0,0,0,0.000
xay dung kinh doanh startup goi von,0,0,0,0,0,0,0,0,0,0,0.000
MAP,,,,,,,,,,,0.867
